Country Name,Value,Resource,Normalization,Rank
United States,39849646460.86188,Total,Absolute Production (USD),1
Russian Federation,28317335745.335293,Total,Absolute Production (USD),2
China,11509358975.658,Total,Absolute Production (USD),3
"Iran, Islamic Rep.",9217730352.14,Total,Absolute Production (USD),4
Saudi Arabia,8188215386.846001,Total,Absolute Production (USD),5
Canada,7913482444.672,Total,Absolute Production (USD),6
Qatar,6792097756.3,Total,Absolute Production (USD),7
Australia,5863656461.844999,Total,Absolute Production (USD),8
Norway,4576430606.4,Total,Absolute Production (USD),9
Algeria,3564956458.12,Total,Absolute Production (USD),10
Qatar,2574.073764153507,Total,Per Capita (USD/person),1
Brunei Darussalam,1119.1919940137345,Total,Per Capita (USD/person),2
Trinidad and Tobago,902.7222298705631,Total,Per Capita (USD/person),3
Norway,855.7441293547967,Total,Per Capita (USD/person),4
Bahrain,381.96810055022524,Total,Per Capita (USD/person),5
Oman,355.04217378264394,Total,Per Capita (USD/person),6
United Arab Emirates,351.8910300202683,Total,Per Capita (USD/person),7
Kuwait,348.24214544845523,Total,Per Capita (USD/person),8
Saudi Arabia,272.3613002749919,Total,Per Capita (USD/person),9
Australia,231.44648642327363,Total,Per Capita (USD/person),10
Trinidad and Tobago,3.2239521203670694,Total,% of GDP,1
Qatar,2.8279418356203707,Total,% of GDP,2
Brunei Darussalam,1.8759439923691414,Total,% of GDP,3
Norway,1.3423221919980743,Total,% of GDP,4
Oman,1.0534510808804902,Total,% of GDP,5
Uzbekistan,0.8213524684377835,Total,% of GDP,6
Kuwait,0.7764828843112409,Total,% of GDP,7
Bahrain,0.7621301964166061,Total,% of GDP,8
Azerbaijan,0.7618523258123576,Total,% of GDP,9
"Iran, Islamic Rep.",0.7215095940711092,Total,% of GDP,10
United States,6255476115.0,Oil,Absolute Production (USD),1
Saudi Arabia,4318796524.0,Oil,Absolute Production (USD),2
Russian Federation,4262835105.0,Oil,Absolute Production (USD),3
Canada,1960342233.0,Oil,Absolute Production (USD),4
