category,n_female,n_male,mean_female,mean_male,gap_pct,log_gap,n_total
"{'bc1': 'marketplace', 'bc2': 'greeting cards', 'bc3': 'birthday cards'} > unknown",19,7,3.878947368421053,3.5428571428571423,9.486417657045877,0.08631215387167468,26
"{'bc1': 'marketplace', 'bc2': 'greeting cards & party essentials', 'bc3': 'birthday cards', 'bc4': 'milestone/special age birthday cards'} > unknown",11,9,3.7899999999999996,3.0299999999999994,25.082508250825096,0.23853758606413633,20
"{'bc1': 'marketplace', 'bc2': 'greeting cards & party essentials', 'bc3': 'birthday cards'} > unknown",5,5,3.8299999999999996,3.754,2.0245071923281843,0.0447607329154478,10
"{'bc1': 'marketplace', 'bc2': 'greeting cards & party essentials', 'bc3': 'birthday cards', 'bc4': 'funny birthday cards'} > unknown",12,4,3.765,3.5050000000000003,7.41797432239657,0.0825795712007178,16
"{'bc1': 'marketplace', 'bc2': 'greeting cards & party essentials', 'bc3': 'gifts', 'bc4': 'wrapping paper & gift bags'} > unknown",3,3,6.656666666666666,9.29,-28.345891639756005,-0.14647627450771794,6
"{'bc1': 'health & beauty', 'bc2': 'shower', 'bc3': 'bath & hand hygiene', 'bc4': 'shower gel & body wash'} > unknown",3,10,1.4000000000000001,3.12,-55.12820512820513,-0.6271199374245917,13
"{'bc1': 'baby & toddler', 'bc2': 'nappies & pants', 'bc3': 'bedwetting & dry nites', 'bc4': 'bedwetting & dry nights'} > unknown",3,3,7.583333333333333,7.583333333333333,0.0,0.0,6
"{'bc1': 'toiletries & beauty', 'bc2': 'incontinence', 'bc3': 'large leaks'} > unknown",5,3,6.9,5.933333333333334,16.29213483146068,0.3295231520488504,8
"{'bc1': 'toiletries & beauty', 'bc2': 'incontinence', 'bc3': 'frequent leaks'} > unknown",12,3,6.708333333333333,1.8666666666666665,259.375,1.237913065952653,15
"{'bc1': 'health, wellbeing & medicines', 'bc2': 'vitamins & supplements', 'bc3': 'multivitamin', 'bc4': 'adults'} > unknown",11,4,7.636363636363637,11.8125,-35.35353535353535,-0.5465291399488554,15
"{'bc1': 'toiletries & beauty', 'bc2': 'gifting & fragrances', 'bc3': 'gifting'} > unknown",3,9,13.666666666666666,10.5,30.15873015873016,0.3797860280011216,12
