Country Code,Country Name,Metals_GDP_Norm,Oil_GDP_Norm,Natural Gas_GDP_Norm,Coal_GDP_Norm,Economic Complexity Index,Human capital index,Cluster,PC1,PC2
ALB,Albania,0.03920452778190269,0.0,0.0,0.0031461392534572158,-0.558,2.989798784,2,0.20289107535280662,-0.17066016931079245
DZA,Algeria,0.0006807045092269323,2.766297148683487,0.9973174652040191,0.0,-1.025,2.383965492,4,-0.5986597841673076,1.3512056971020185
AGO,Angola,0.00030799608308329024,6.850801328383565,0.0,0.0,-1.204,1.481984377,0,-1.7954051151119053,1.800596301760803
ARG,Argentina,0.25880694471460813,0.7467896674324227,0.2661943984920947,0.00025050007231391117,-0.203,3.09680438,2,0.4984437815483935,0.07233604002591894
ARM,Armenia,1.4075289241737465,0.0,0.0,0.0,-0.124,3.145183325,2,0.2988010168725055,-0.5428451195820443
AUS,Australia,1.9984826895173458,0.36891581665516293,0.7254435003731496,1.427817017284916,-0.377,3.549666166,2,0.19804628139367333,-1.1993206549346147
AUT,Austria,0.05044123032418126,0.0,0.0,0.0,1.737,3.381046295,1,2.0820833919829558,-0.5780746407373797
AZE,Azerbaijan,0.11566421860540373,5.390754844226713,1.0427373586955735,0.0,-0.827,3.351673290070797,4,0.331201444507564,1.7631297593339337
BHR,Bahrain,2.5698150243032303,0.0,1.388861140539567,0.0,0.492,2.756066084,2,0.2482046239274067,0.15876193384328777
BGD,Bangladesh,0.0,0.0,0.16740149409909444,0.003035016740955517,-1.18,2.101790428,0,-0.996748187901455,0.20632535608745625
BOL,Bolivia,2.7926402373749792,0.0,0.9377382205072355,0.0,-0.964,2.966043711,0,-0.6374015039402187,-0.024426109743358203
BIH,Bosnia and Herzegovina,0.2719456772665264,0.0,0.0,1.0038046688809654,0.547,3.327295667731048,2,1.0152979864037737,-1.2027976087660652
BWA,Botswana,0.07641502075954168,0.0,0.0,0.2162971767387032,-0.685,2.938816071,2,0.025515786004632043,-0.31248481531922295
BRA,Brazil,0.19809501442728483,0.9229533043650808,0.05068695803665492,0.00654545598421636,-0.002,3.091373205,2,0.6067354831053539,-0.05656008551028229
BRN,Brunei Darussalam,0.0,4.73098014242015,3.1206427547500857,0.0,-0.273355295,2.81316185,4,0.5250152763283499,3.0886419892748935
BGR,Bulgaria,0.35287269092991924,0.0,0.0,0.6610684167500784,0.535,3.186015129,2,0.9167070432378672,-0.9314666680946805
BFA,Burkina Faso,3.7231319106221856,0.0,0.0,0.0,-0.884,1.286242485,3,-2.488223921999756,-0.5710734361714926
CMR,Cameroon,0.11450877498286463,0.0,0.0,0.0,-1.346,1.895813227,0,-1.3467331868338144,0.13100054653340198
CAN,Canada,0.741630297191184,2.9687950864108985,0.5779482072445153,0.10306418259545999,0.637,3.721065998,1,1.4751848569529276,0.38947621353309597
TCD,Chad,0.0,3.479718373452968,0.0,0.0,-1.845,1.6359205328081163,0,-1.9849744928446293,1.0834260070275115
CHL,Chile,5.320101445829005,0.0,0.0,0.012659944893859531,-0.413,3.145768881,0,-0.8537694201092945,-1.3185417209461847
CHN,China,0.40551307217727195,0.17718488213306274,0.05015888253684354,0.6210692466366047,1.177,2.698987007,2,0.8883488317441418,-0.8413392593536402
COL,Colombia,0.1498896205103225,1.2189328575632488,0.10702383091267512,0.4270802367770281,1.3877787807814457e-17,2.598787069,2,0.09148430117117665,-0.16905684476122748
COD,"Congo, Dem. Rep.",8.034461317496058,0.0,0.0,0.0002784521338097223,-1.095,1.803433776,3,-3.207950903203187,-1.5253238199592785
COG,"Congo, Rep.",0.05518696695892264,15.061052102220222,0.0,0.0,-1.084,2.164809227,4,-1.3254113476504668,3.554385396711153
CRI,Costa Rica,0.12698732998645115,0.0,0.0,0.0,0.169,2.694771767,2,0.3912062590387045,-0.2391205281409755
CIV,Cote d'Ivoire,0.6807549464111882,0.0,0.0,0.0,-1.1,1.695541859,0,-1.5074739555867966,0.014488777199463072
HRV,Croatia,0.00025453062581294193,0.0,0.0,0.0,0.7979999999999999,3.605145454,1,1.6791953937596205,-0.4710078512198291
CYP,Cyprus,0.006909417978479277,0.0,0.0,0.0,0.49,2.904392004,2,0.8267659599924385,-0.2995410860974887
CZE,Czechia,0.0,0.0,0.0,0.3365328604843647,1.794,3.764699221,1,2.4277865969484105,-0.9017565521802446
DNK,Denmark,0.0,0.3196678695145907,0.06129081310006349,0.0,1.059,3.59926486,1,1.8461034482470906,-0.39144843962436016
DOM,Dominican Republic,0.4705341743761234,0.0,0.0,0.0,-0.27,2.767153978,2,0.08295508998510474,-0.25898207754436425
ECU,Ecuador,0.10360607717863982,2.7553281333704738,0.0,0.0,-1.184,2.76246953,0,-0.512788600256802,0.5915946485923856
EGY,"Egypt, Arab Rep.",0.0576103850091827,0.49341437819995104,0.30227442279718225,0.0,-0.144,2.676786423,2,0.21105219514358015,0.14811479354477258
GNQ,Equatorial Guinea,0.018468415770811854,5.330813552332027,0.0,0.0,-1.901,2.363182212925824,0,-1.4063803763063556,1.3852477777291006
SWZ,Eswatini,0.0016308998193409197,0.0,0.0,0.037742761194672333,0.036,1.82367444,0,-0.4767075149249682,-0.0636584225312389
ETH,Ethiopia,0.030406214846774197,0.0,0.0,3.256371719572235e-05,-1.155,1.455194354,0,-1.6062620900280002,0.20068397875606642
FIN,Finland,0.1832168467464816,0.0,0.0,0.0,1.441,3.50445199,1,1.9673400428216263,-0.584639625413294
FRA,France,0.017562991484762144,0.0,0.0,0.0,1.365,3.230137348,1,1.7044362843596799,-0.48928560343964134
GAB,Gabon,5.886796286205974,6.341220460245044,0.0,0.0,-1.243,2.876266956,0,-1.9638520772166144,0.2177133947839983
GEO,Georgia,0.2860619109185451,0.0,0.0,0.0010011214351280055,-0.102,3.1171106348062887,2,0.5623035775264009,-0.3100279187176976
DEU,Germany,0.015818380376372912,0.0,0.007516990597357042,0.10534246186328167,2.072,3.675377846,1,2.5668320364606703,-0.7485180191744889
GHA,Ghana,3.142422915184176,0.0,0.0,0.0,-0.994,2.526944876,0,-1.2735699642438856,-0.6611334706602994
GRC,Greece,0.18424673068757672,0.0,0.0,0.3110057907897663,0.039,3.135317564,2,0.6435713214753368,-0.5486251728590477
GTM,Guatemala,0.002418229622504254,0.0,0.0,0.0,-0.449,1.954362869,0,-0.6709997854151458,0.012092686468257802
GIN,Guinea,6.915964008539036,0.0,0.0,0.0,-1.386,2.1663807576460714,3,-2.7914021660231363,-1.3175698525112667
HND,Honduras,0.23674645753303472,0.0,0.0,0.0,-0.648,2.4374547,0,-0.41441451020108566,-0.09522030251405031
HUN,Hungary,0.0,0.0,0.0,0.07720852264182358,1.446,3.417138577,1,1.9215689863665832,-0.5902989855637865
IND,India,0.08886039527400932,0.09537941234854291,0.0185865807083477,0.2963210534557423,0.355,2.171164513,2,-0.011172923641802146,-0.35329199508917875
IDN,Indonesia,0.4145699894452677,0.2464193401547353,0.14704090537131356,0.6820854259017879,-0.135,2.288165092,2,-0.36174089037726975,-0.5394105428430096
IRN,"Iran, Islamic Rep.",0.1845465972885319,2.823714771484639,1.1347235146463666,0.004483488824694575,0.004,2.517744303,4,0.1773633424368721,1.2431171460839823
IRQ,Iraq,0.0,10.45238762527171,0.14783331915520503,0.0,-1.575,2.288905859,4,-1.3758468983398433,2.646835336295295
IRL,Ireland,0.054788725688930374,0.0,0.0,0.0,1.502,3.185516834,1,1.7448786878182583,-0.5089109429628613
ISR,Israel,0.0,0.0,0.17049812375711745,0.0,1.476,3.812638998,1,2.3426714745862642,-0.4901112737229047
ITA,Italy,0.0,0.035689628317045134,0.01145525096886417,0.0,1.279,3.158385038,1,1.5860955679395903,-0.4437648348750405
JAM,Jamaica,0.6243112101038973,0.0,0.0,0.0,-0.24,2.599545956,2,-0.08957720051635167,-0.2645955545801938
JPN,Japan,0.0035009175803847633,0.0,0.0,0.0005190533445722122,2.549,3.593987226,1,2.827939555053685,-0.726526389932894
