Country Name,Value,Resource,Normalization,Rank
China,280544605764.74603,Total,Absolute,1
United States,273165088392.98776,Total,Absolute,2
Russian Federation,200872408587.86862,Total,Absolute,3
Saudi Arabia,130802021292.07385,Total,Absolute,4
Canada,81837455087.76126,Total,Absolute,5
Australia,57808928600.52728,Total,Absolute,6
"Iran, Islamic Rep.",52986468112.86685,Total,Absolute,7
Iraq,49930290986.52326,Total,Absolute,8
Indonesia,48629260702.51748,Total,Absolute,9
United Arab Emirates,48088621098.951935,Total,Absolute,10
Qatar,11389.052690165583,Total,Per Capita,1
Kuwait,7090.778715951435,Total,Per Capita,2
United Arab Emirates,5091.013727175871,Total,Per Capita,3
Norway,5061.633263016624,Total,Per Capita,4
Brunei Darussalam,4684.294159246245,Total,Per Capita,5
Saudi Arabia,4350.814788645768,Total,Per Capita,6
Oman,2805.090790069035,Total,Per Capita,7
Australia,2281.7969462481124,Total,Per Capita,8
Trinidad and Tobago,2229.80321524049,Total,Per Capita,9
Canada,2175.457978522566,Total,Per Capita,10
Kuwait,15.81045942122957,Total,GDP Norm,1
"Congo, Rep.",15.116239069179144,Total,GDP Norm,2
Qatar,12.512298217372786,Total,GDP Norm,3
Gabon,12.228016746451017,Total,GDP Norm,4
Mongolia,10.963140853891282,Total,GDP Norm,5
Iraq,10.600220944426916,Total,GDP Norm,6
Libya,8.524675022880981,Total,GDP Norm,7
Oman,8.32302791886125,Total,GDP Norm,8
"Congo, Dem. Rep.",8.034739769629867,Total,GDP Norm,9
Trinidad and Tobago,7.96344497332989,Total,GDP Norm,10
United States,176544453880.93054,Oil,Absolute,1
Saudi Arabia,121886737273.94469,Oil,Absolute,2
Russian Federation,120307372574.25916,Oil,Absolute,3
Canada,55325532794.350525,Oil,Absolute,4
Iraq,49233950723.27585,Oil,Absolute,5
United Arab Emirates,41037725794.36122,Oil,Absolute,6
China,39642099769.85933,Oil,Absolute,7
"Iran, Islamic Rep.",36074698893.51849,Oil,Absolute,8
Kuwait,30657891775.000557,Oil,Absolute,9
Brazil,29767448667.57556,Oil,Absolute,10
Kuwait,6901.330696645749,Oil,Per Capita,1
Qatar,6779.70276145808,Oil,Per Capita,2
United Arab Emirates,4344.554295313859,Oil,Per Capita,3
Saudi Arabia,4054.269298232891,Oil,Per Capita,4
Norway,3371.5038413237653,Oil,Per Capita,5
Brunei Darussalam,2822.512356857551,Oil,Per Capita,6
Oman,2178.453346126956,Oil,Per Capita,7
Libya,1771.8993623732295,Oil,Per Capita,8
Canada,1470.7003242514227,Oil,Per Capita,9
Iraq,1195.225925899265,Oil,Per Capita,10
Kuwait,15.388043161795789,Oil,GDP Norm,1
"Congo, Rep.",15.061052102220222,Oil,GDP Norm,2
