hs_92_code,sector_name,product_name
9701,Textiles,Paintings and drawings
5402,Textiles,Synthetic filament yarn
9405,Textiles,Lamps
6506,Textiles,Other headgear
5404,Textiles,"Synthetic monofilament >67 dtex, thickness < 1mm"
5510,Textiles,"Yarn of artificial staple fibers, not for retail sale"
6401,Textiles,Waterproof footwear
5406,Textiles,Synthetic filament yarn for retail sale
6309,Textiles,Used clothes and textiles
6404,Textiles,Textile footwear
5801,Textiles,Woven pile fabrics
9705,Textiles,Collectors pieces
5209,Textiles,Woven fabrics of cotton of < 85% weighing > 200 g/m2
6214,Textiles,"Shawls, scarves, etc."
6104,Textiles,"Women's suits, knit"
6204,Textiles,Women's suits and pants
5309,Textiles,Woven fabrics of flax
5515,Textiles,Other woven fabrics of synthetic staple fibers
5803,Textiles,Gauze
6602,Textiles,Walking sticks
6108,Textiles,"Women's undergarments, knit"
6601,Textiles,Umbrellas
6207,Textiles,Men's undergarments
6217,Textiles,Other clothing accesories
9406,Textiles,Prefabricated buildings
6105,Textiles,"Men's shirts, knit"
5403,Textiles,Artificial filament yarn
5401,Textiles,Synthetic sowing thread
5202,Textiles,Cotton waste
5908,Textiles,Textile wicks
6703,Textiles,Human animal hair prepared for use in wigs
5701,Textiles,"Carpets, knotted"
5205,Textiles,Cotton yarn of > 85%
5703,Textiles,"Carpets, tufted"
5806,Textiles,Narrow woven fabrics
6102,Textiles,"Women's overcoats, knit"
5608,Textiles,Nets
5503,Textiles,Synthetic staple fibers
5505,Textiles,Waste of man-made fibers
5508,Textiles,Synthetic staple fibers sewing thread
5802,Textiles,Terry cloth
6406,Textiles,Parts of footwear
5511,Textiles,"Yarn of synthetic staple fibers, for retail sale"
6403,Textiles,Leather Shoes
6212,Textiles,Brassieres
6211,Textiles,Activewear
5906,Textiles,Rubberized textile fabrics
5112,Textiles,Woven fabrics of combed wool
5504,Textiles,"Artificial staple fibers, not processed for spinning"
5408,Textiles,Woven fabrics of artificial filament yarn
5208,Textiles,Woven fabrics of cotton of > 85% weighing < 200 g/m2
6402,Textiles,Other footwear of rubber or plastics
6502,Textiles,Hat shapes
6001,Textiles,"Pile fabrics, knit"
9703,Textiles,Sculptures
9403,Textiles,Furniture
5210,Textiles,Woven fabrics of cotton of < 85% weighing < 200 g/m2
6505,Textiles,"Hats, knit"
5101,Textiles,Wool
9404,Textiles,Mattresses and bedding
6702,Textiles,Artificial flowers
6501,Textiles,Hat forms
5809,Textiles,Woven fabric incorporating metal threads
5604,Textiles,Rubber textiles
9706,Textiles,Antiques >100 years
5007,Textiles,Woven silk fabrics
6310,Textiles,Used or new rags textile scraps
5109,Textiles,"Yarn of wool or animal hair, for retail sale"
5405,Textiles,"Artificial monofilament >67dtex t<1mm, strip, straws t<5mm"
5808,Textiles,Braids in piece
6209,Textiles,Babies' garments
9401,Textiles,Seats
6205,Textiles,Men's shirts
5509,Textiles,"Yarn of synthetic staple fibers, not for retail sale"
6206,Textiles,Women's shirts
5207,Textiles,Cotton yarn for retail sale
6303,Textiles,Curtains
5307,Textiles,Yarn of textile bast fibers
6216,Textiles,Gloves
6306,Textiles,"Tents, tarpaulins, etc."
6106,Textiles,"Women's shirts, knit"
6503,Textiles,Felt hats
6507,Textiles,Headbands
5201,Textiles,Raw cotton
6117,Textiles,"Other clothing accesories, knit"
5502,Textiles,Artificial filament tow
6115,Textiles,"Socks, stockings, etc., knit"
5301,Textiles,"Flax, raw or processed"
5702,Textiles,Woven carpets and rugs
5907,Textiles,"Other textile fabrics impregnated, coated or covered"
5609,Textiles,"Articles of yarn, rope etc not elsewhere clasified"
5105,Textiles,"Wool, combed"
6113,Textiles,Garments knit with impregnated fibers
6208,Textiles,Women's undergarments
5602,Textiles,Felt
5601,Textiles,Wadding of textile materials
5606,Textiles,Gimp yarn
5903,Textiles,Textile fabrics impregnated with plastics
6112,Textiles,"Activewear, knit"
5704,Textiles,Carpets of felt
5512,Textiles,Woven fabrics of > 85% synthetic staple fibers
5904,Textiles,Linoleum
6107,Textiles,"Men's undergarments, knit"
5006,Textiles,"Silk yarn, for retail sale"
6201,Textiles,"Men's overcoats, not knit"
6304,Textiles,Other furnishing articles
6103,Textiles,"Men's suits, knit"
6111,Textiles,"Babies' garments, knit"
6203,Textiles,Men's suits and pants
5514,Textiles,Woven fabrics of < 85% synthetic staple fibers weighing > 170 g/m2
6308,Textiles,Needlecraft sets of woven fabric and yarn
5911,Textiles,Textile articles for technical use
5306,Textiles,Flax yarn
5501,Textiles,Synthetic filament tow
6504,Textiles,Hats
5603,Textiles,Nonwoven textiles
5607,Textiles,Twine and ropes of baste fibers
6301,Textiles,Blankets
6110,Textiles,"Sweaters, pullovers, sweatshirts etc., knit"
6114,Textiles,"Other garments, knit"
5507,Textiles,"Artificial staple fibers, processed"
5516,Textiles,Woven fabrics of artificial staple fibers
6302,Textiles,House linen
5905,Textiles,Textile wall coverings
5302,Textiles,Hemp fiber
5303,Textiles,Textile bast fibers
5310,Textiles,Woven fabrics of jute or of other textile bast fibers
5805,Textiles,Hand-woven tapestries
